X,Y,Datum,Uzrok,Materijal,Dimenzija,Napomena,Mjesto,Slika,Ulica,K.B.,Popis mat.,Tip,icon_url
14.9738594042438,45.4642660140335,2025/07/06,,PEHD,"3/4""",,Brod Moravice,,Sunger,"35",,PRIKLJUČAK,./0.png
15.0126699612041,45.4710740853884,2025/07/04,,PEHD,"2""",,Male Drage,,Male Drage,"38",Andora dn63-1kom,ULIČNI,./0.png
14.9403447658421,45.3684680968311,2025/07/05,,PEHD,"3/4""",Priključak,Ravna Gora,,Matanovci,"34","Alkaten 3\4"" m1
MS Spojnica 3\4"" kom2",,./0.png
14.9061178150716,45.4286651922557,2025/07/10,,POCINČANA,"3/4""",,Skrad,,Selska,33 A,Iskop Vodopić,PRIKLJUČAK,./0.png
14.7186935582354,45.3036909553234,2025/07/17,Nije stegnuta ogrlica,DUCTIL,DN110,Kvar Vilmet,Fužine,,Novo naseljw,"6",,ULIČNI,./0.png
14.8059589751536,45.3943177501785,,,,,,,,,,,,./0.png
14.8533369677539,45.4606579674587,2025/08/07,,PEHD,"2""",,Brod na Kupi,,Kralja tomislava,"14",,ULIČNI,./0.png
14.8032157871474,45.3190407423666,2025/08/08,,PVC,DN110,Iskop-Vodopić,Brestova Draga,,Brestova Draga,"3","Klizna spojnica DN110-2kom
Cijev Pvc DN110 -1m",TLAČNI,./0.png
0,0,,,,,,,,,,,,./0.png
14.7964561609133,45.4050149883962,2025/08/18,,PVC,DN110,,Delnice,,Kuti,b.b.,"Pvc luk DN110/11 - kom2
Eks DN110 - kom1",PRIKLJUČAK,./0.png
