X,Y,Objekt,Napomena,Slika,Datum,icon_url,x_cord,y_cord
14.74302242297,45.3400143707568,Odzracnik,,,,./0.png,479866.384801327,5020754.93148572
14.7425680674555,45.3390198281015,Muljni ispust,,,,./0.png,479830.433969369,5020644.55748348
14.7409351224846,45.3366425517623,Odzracnik,,,,./0.png,479701.644817123,5020380.86672282
14.7402890977208,45.3362350482132,Muljni ispust,,,,./0.png,479650.881276468,5020335.75855732
14.7388518332168,45.3336654504959,Muljni ispust,,,,./0.png,479537.341947191,5020050.65610481
14.7387724690921,45.3333506994011,Odzracnik,,,,./0.png,479531.009867272,5020015.70936268
14.7342426797606,45.321935791827,Odzracnik,,,,./0.png,479171.886515581,5018748.74580825
14.7395931297835,45.3282561189813,Odzracnik,,,,./0.png,479593.484922603,5019449.52500146
14.7395103005451,45.3304014989371,Odzracnik,,,,./0.png,479587.76470029,5019687.88428171
14.7386199506578,45.3322616676734,Muljni ispust,,,,./0.png,479518.666457101,5019894.76343744
14.7583953455102,45.350905348569,Muljni ispust,,,,./0.png,481074.447998364,5021961.12696662
14.7591207501555,45.3519948977733,Odzracnik,,,,./0.png,481131.632955196,5022081.99933188
14.7595360911335,45.3530975538787,Muljni ispust,Nema poklopca,,,./0.png,481164.532886368,5022204.40080541
14.7600978196008,45.3542025129976,Odzracnik,Kvar,,,./0.png,481208.898588683,5022327.02415386
14.731366,45.320975,Ostalo,,,,./0.png,478946.077577576,5018642.75560691
14.731403,45.320987,Sekcioni zasun,,,,./0.png,478948.981859371,5018644.07906295
14.7236800013467,45.3232080009609,Sekcioni zasun,,,,./0.png,478344.545840169,5018892.8647141
14.6915045644334,45.3313090288398,Muljni ispust,,,,./0.png,475826.37324727,5019801.98893137
