X,Y,id,Oznaka,icon_url
14.968862530586,45.4644231516715,,K - 3,./0.png
14.9694138794304,45.4639879776026,,T - 1,./0.png
14.9700130710674,45.4642136044104,,K - 2,./0.png
14.9711745477607,45.4648459841156,,K - 2,./0.png
14.9719240551404,45.4649427812193,,K - 2,./0.png
14.80801557425,45.3971719937307,,SK-8,./0.png
14.8041428965316,45.3757698986057,,K - 17,./0.png
14.8049042809759,45.3752912613715,,K - 18,./0.png
14.8047990287496,45.373568652292,,K - 16,./0.png
14.8029014187852,45.371201950078,,K - 15,./0.png
14.8021473083783,45.3726670730612,,K - 3,./0.png
14.9736099357534,45.4644483551544,,K - 1,./0.png
14.9748751646414,45.4644324283315,,K - 1.G,./0.png
14.9690146511606,45.4636449928252,,K - 1.C,./0.png
14.9696222539431,45.4632364827129,,K - 1.C.2,./0.png
14.9708983655964,45.4635433733481,,K - 1.B.3,./0.png
14.971916362136,45.4634514493723,,K-1.F,./0.png
14.9732608491268,45.463951040044,,K-1,./0.png
14.9749006419142,45.4637662884185,,K-1.B,./0.png
14.9758506930745,45.4630517468001,,K1.B,./0.png
14.9747870122258,45.4623789038749,,K-1.B,./0.png
14.9728241341982,45.4630140336574,,K-1,./0.png
14.9731883404327,45.4626067593205,,K1.E,./0.png
14.9719638489948,45.4624346611626,,K-1,./0.png
14.9697211761497,45.4621829641547,,K-1.C,./0.png
14.9701488221597,45.4620034596462,,K-1.C.1,./0.png
14.9710015539494,45.4622495559342,,K-1.D,./0.png
14.9710064422673,45.4618121358863,,K-1,./0.png
14.9706090022848,45.4614969253145,,K-1.C,./0.png
14.9717417682105,45.4607494413078,,K-1,./0.png
14.9725705088481,45.4607722357613,,K-1.B.2,./0.png
14.9739432837616,45.4617237176143,,K-1.B.3,./0.png
14.9748612421286,45.4612718525191,,K-1.B,./0.png
14.9757201865083,45.4611786350349,,K-1.B.4,./0.png
14.9743645522023,45.4607296051863,,K-1.B,./0.png
14.9723352808728,45.4596761070872,,K-1,./0.png
14.9736758109931,45.459772968496,,K-1.B,./0.png
14.9749432107261,45.4597704974942,,K-1.B,./0.png
14.9759531909963,45.4589562720428,,K-1.B,./0.png
14.9767593601329,45.4585963261347,,K-1.B.1,./0.png
14.9724619163844,45.4583714321165,,K-1,./0.png
14.9722971714905,45.4574072153443,,K-1,./0.png
14.9757021701675,45.4555445615129,,K-1,./0.png
14.9768829867064,45.4539407505314,,NULLK-1,./0.png
14.9777471076289,45.4514978025826,,K-1,./0.png
14.7967565507478,45.3996740055283,,K - 22,./0.png
14.7966465035635,45.4009907891356,,K - 20,./0.png
14.795426795694,45.4036100661988,,K - 6,./0.png
14.7944105558476,45.4033485511688,,K - 11,./0.png
14.7929350865049,45.4024888198048,,K - 12,./0.png
14.7935633596131,45.4017692434095,,K - 14,./0.png
14.7940800371627,45.402474509416,,K - 4,./0.png
14.7947113786472,45.402186068543,,K - 12,./0.png
14.7976195148092,45.4002260438425,,K - 41,./0.png
14.7972464530351,45.3994227284391,,K - 40-1,./0.png
14.7982530348568,45.3990137597261,,K - 40,./0.png
14.797810913373,45.3997160278435,,K - 40,./0.png
14.7988217177396,45.3999442358755,,K - 40,./0.png
14.8002808492755,45.3982221468542,,K - 38,./0.png
14.7994678661587,45.3984838247075,,K - 35,./0.png
14.7987791956358,45.3989863567059,,K - 35,./0.png
14.7988373903151,45.3986505293679,,K - 35,./0.png
14.7997802069867,45.3989271556773,,K - 39,./0.png
14.798450527793,45.3979178672409,,K-31,./0.png
14.7999567251697,45.3976098819886,,K-37,./0.png
14.7995737664506,45.3975263965735,,K-37,./0.png
14.79969370324,45.3973690572252,,K-32,./0.png
14.7989399828935,45.3977038513366,,K-32,./0.png
14.7965972618986,45.3944068062065,,K-25,./0.png
14.797583507846,45.3956055685817,,K-25,./0.png
14.7978079789897,45.3962435697679,,K-27,./0.png
14.7977270361254,45.3964691160479,,K-29,./0.png
14.7983962782115,45.3961573296919,,K-26,./0.png
14.7975117601048,45.39759017021,,K-30,./0.png
14.8047931968768,45.4766483801291,,GK 1,./0.png
14.8045829326714,45.4761790910226,,GK 1A,./0.png
14.8047962693341,45.4759360176741,,GK 6,./0.png
14.8045432277851,45.4760503237486,,GK 6,./0.png
14.8046482719088,45.4759564030009,,TK 1,./0.png
14.8045836590947,45.4759440284319,,GK 1A,./0.png
14.8045889575798,45.4763686095272,,GK 1,./0.png
14.8042410261763,45.4759932862714,,GK 2,./0.png
14.8037860639685,45.4758074874446,,GK 2,./0.png
14.8046760351897,45.475702953974,,TK 1,./0.png
14.804265931181,45.4754062284602,,GK 1A,./0.png
14.8056808382588,45.4754510649171,,GK 3,./0.png
14.8063719765651,45.4757571727424,,GK 5,./0.png
14.8071547839063,45.4763576207464,,GK 3,./0.png
14.8084563617516,45.476734615458,,TK 2,./0.png
14.8068504517541,45.4751774683425,,GK 5,./0.png
14.8071058831554,45.4742126681529,,GK 5,./0.png
14.8066537486567,45.4736163277231,,GK 3,./0.png
14.8071640540833,45.4736630990532,,GK 5,./0.png
14.8063238325934,45.4745692458547,,GK 3,./0.png
14.9404320676865,45.3665961974287,,K 12,./0.png
14.9409814164662,45.3674877655948,,K 20,./0.png
14.90590800553,45.4254058230915,,K 1,./0.png
14.9051398713465,45.4272019939907,,K A2,./0.png
14.9046544742028,45.4277906328357,,K A1,./0.png
14.9375117701099,45.3719319682776,,K 14,./0.png
14.9367627934062,45.3721973324661,,K 15,./0.png
14.935531081815,45.3723129888784,,K 14-1,./0.png
14.9379358341601,45.3721929840633,,Tlačni vod 2,./0.png
14.9343140155408,45.3726849866425,,K 3G,./0.png
14.9329574330938,45.3725474838869,,K 3G,./0.png
14.9323225247254,45.3723937826133,,Tlačni vod 1,./0.png
14.9325216347172,45.371302454889,,K 3,./0.png
14.9321731910825,45.3735157188665,,K 7,./0.png
14.9326799732741,45.3730691332488,,K 6,./0.png
14.9358983189784,45.373447692202,,K 6,./0.png
14.9374875521084,45.3737050784809,,K 16,./0.png
14.9383465170238,45.3738441655498,,K 17-G,./0.png
14.9389721321402,45.3744132605242,,K 21,./0.png
14.9385628204308,45.3752125022773,,K 22-1,./0.png
14.9412415297205,45.3758263175606,,K 21,./0.png
14.9418004130545,45.3770959748415,,K 21,./0.png
14.942310189287,45.379087968092,,K 29,./0.png
